order_id,customer_id,order_date,order_status,payment_status,payment_method,currency,subtotal,discount_amount,tax_amount,shipping_amount,total_amount,shipping_country,shipping_city,shipping_postcode,device_type,traffic_source
1,6842,19-08-2025 11:03,Cancelled,Paid,Card,USD,1742.93,261.44,209.15,45.14,1735.78,Heard Island and McDonald Islands,West Matthewmouth,95949,Mobile,Direct
2,8746,06-08-2024 08:28,Cancelled,Refunded,Card,USD,660.36,33.02,79.24,20.23,726.81,Norway,Kyleborough,68275,Desktop,Direct
3,8564,20-06-2025 22:27,Cancelled,Paid,Card,USD,1777.14,177.71,213.26,11.18,1823.87,Serbia,South Barbaraborough,81802,Mobile,Direct
4,5996,11-03-2026 03:59,Pending,Paid,Card,USD,953.11,0,114.37,20.23,1087.71,Uruguay,Halltown,44452,Tablet,Email
5,1123,20-08-2024 02:43,Cancelled,Failed,BankTransfer,USD,1021.43,0,122.57,37.55,1181.55,Kazakhstan,Lake Colleen,88498,Mobile,Paid
6,9106,05-03-2025 15:12,Pending,Pending,BankTransfer,USD,1058.45,52.92,127.01,21.61,1154.15,Fiji,North Johnview,99754,Tablet,Referral
7,557,26-02-2025 06:37,Pending,Pending,Card,USD,1855.74,278.36,222.69,10.88,1810.95,Indonesia,South Barbara,56745,Mobile,Direct
8,3198,28-07-2025 08:28,Cancelled,Pending,PayPal,USD,1382.2,0,165.86,9.5,1557.56,Paraguay,Haileyhaven,8748,Tablet,Organic
9,5006,08-07-2026 10:16,Cancelled,Failed,Card,USD,685.33,34.27,82.24,0.16,733.46,Jamaica,New Aaronfort,68177,Tablet,Organic
10,6584,16-05-2026 01:59,Cancelled,Refunded,PayPal,USD,579.59,86.94,69.55,12.75,574.95,Colombia,Port Erica,66163,Tablet,Referral
11,9093,01-03-2026 15:29,Pending,Pending,PayPal,USD,1621.68,81.08,194.6,43.89,1779.09,Greece,Parkerton,9578,Tablet,Referral
12,9149,16-02-2025 19:04,Cancelled,Pending,BankTransfer,USD,215.5,0,25.86,18.19,259.55,Myanmar,North Brandon,95053,Tablet,Direct
13,8765,08-07-2025 22:43,Pending,Refunded,Card,USD,505.65,25.28,60.68,4.42,545.47,Hungary,Seantown,43805,Mobile,Organic
14,3908,13-07-2026 01:24,Pending,Refunded,Wallet,USD,496.26,49.63,59.55,3.63,509.81,French Southern Territories,New Isabellabury,77482,Desktop,Paid
15,8371,05-07-2025 14:04,Pending,Failed,Card,USD,991.3,0,118.96,23.6,1133.86,Lesotho,Lake Courtney,8902,Desktop,Email
16,497,25-12-2024 03:01,Completed,Pending,PayPal,USD,503.88,0,60.47,20.87,585.22,Antigua and Barbuda,Marissaland,4984,Mobile,Direct
17,3628,14-02-2025 01:04,Cancelled,Paid,PayPal,USD,1207.46,120.75,144.9,45.29,1276.9,Paraguay,Lopezmouth,14137,Desktop,Referral
18,8469,01-03-2026 10:40,Cancelled,Failed,PayPal,USD,201.85,30.28,24.22,28.61,224.4,Portugal,East Benjamintown,88011,Mobile,Direct
