product_id,sku,product_name,category,subcategory,brand,price,cost,stock_quantity,active,created_at
1,SKU100001,Hold,Home,economy,Knapp-Welch,181.45,148.39,365,0,13-11-2021 23:03
2,SKU100002,Picture,Beauty,suggest,Oconnell Inc,545.45,325.89,509,1,16-01-2021 02:03
3,SKU100003,Employee,Beauty,approach,Acosta Ltd,727.57,354.51,664,1,22-09-2024 01:51
4,SKU100004,Often,Beauty,language,Nichols Inc,487,229.13,680,1,25-02-2023 06:59
5,SKU100005,Relate,Clothing,from,"Romero, Stanley and Davis",738.83,384,692,1,28-12-2021 00:57
6,SKU100006,Back,Beauty,despite,Daugherty-Norris,38.66,27.37,251,1,15-05-2025 07:11
7,SKU100007,Player,Beauty,little,Cook Ltd,14.76,12.31,971,1,25-05-2023 17:22
8,SKU100008,Edge,Electronics,admit,"Martinez, Valencia and Williams",685.87,436.8,957,1,03-04-2021 01:42
9,SKU100009,Word,Clothing,go,Williams Group,319.51,234.21,768,1,20-10-2022 12:40
10,SKU100010,Half,Electronics,politics,Morrison-Walton,679.26,437.66,327,1,09-04-2021 22:07
11,SKU100011,Our,Beauty,of,"Jones, Martinez and Garrison",113.33,73.99,911,1,24-04-2023 04:41
12,SKU100012,Sing,Clothing,network,Morris PLC,423.36,282.61,259,1,30-09-2021 03:39
13,SKU100013,Necessary,Beauty,eat,"Smith, Harrison and Rodriguez",83.98,41.61,830,1,07-10-2021 02:26
14,SKU100014,Family,Home,available,Love-Anderson,550.31,325.81,849,1,28-02-2024 21:57
15,SKU100015,Save,Clothing,method,Green Inc,635.83,365.54,248,1,06-01-2022 11:52
16,SKU100016,Where,Sports,move,Johnson Group,237.8,182.57,283,1,19-11-2023 19:55
17,SKU100017,Analysis,Sports,nearly,Hooper-Sanford,411.38,206.92,591,1,21-08-2022 19:03
18,SKU100018,Six,Sports,summer,Chang Ltd,152.16,115.18,941,1,07-01-2023 02:07
19,SKU100019,Affect,Electronics,customer,Hill-Williams,504.49,341.67,353,1,23-03-2021 03:42
20,SKU100020,Sort,Beauty,believe,"Lyons, Snow and Barnes",222.48,118.04,907,1,17-07-2022 22:35
21,SKU100021,Describe,Electronics,energy,"Jackson, Moran and Delacruz",248.65,209.89,330,0,21-01-2021 07:21
22,SKU100022,Card,Clothing,anything,"Hanson, Mendez and Ross",119.73,63.51,930,1,19-04-2024 00:29
23,SKU100023,Security,Sports,responsibility,Ibarra-Love,256.24,117.55,27,1,16-08-2022 01:33
24,SKU100024,Method,Sports,really,Krueger-Coffey,864.98,595.73,167,1,06-11-2024 06:23
25,SKU100025,Else,Sports,affect,Burton Group,273.33,226.12,461,1,04-07-2024 21:10
26,SKU100026,Help,Beauty,trade,Arias Inc,970.39,553.07,545,1,06-10-2020 15:06
27,SKU100027,Can,Beauty,loss,Finley and Sons,936.12,619.03,570,1,31-12-2024 02:31
28,SKU100028,Help,Home,half,"Landry, Hall and Martinez",752.62,465.2,398,1,27-04-2025 21:26
29,SKU100029,Recent,Beauty,instead,"Ray, Ingram and Mitchell",208.96,125.07,539,1,06-03-2021 07:16
30,SKU100030,Make,Beauty,certain,"Peters, Meyer and Goodman",453.15,242.32,699,1,11-06-2023 16:42
31,SKU100031,Issue,Sports,room,Gray Group,903.64,716.08,119,1,01-05-2025 10:04
32,SKU100032,Wish,Clothing,prepare,Sanchez-Hess,800.79,540.88,982,1,04-11-2023 09:32
33,SKU100033,Job,Sports,likely,Phillips-Hanna,958.31,695.01,66,1,26-08-2024 23:01
34,SKU100034,Street,Home,none,Snow-Hart,246.94,161.5,347,1,06-03-2021 15:07
35,SKU100035,Art,Home,away,Pearson LLC,480.08,296.46,449,1,02-11-2023 12:16
36,SKU100036,Avoid,Clothing,attack,"Jones, Ayala and Chan",83.96,41.98,527,1,04-09-2024 02:07
37,SKU100037,Unit,Electronics,role,Daniels-Reed,372.34,300.15,804,1,27-07-2020 04:19
38,SKU100038,Arrive,Beauty,they,"Adams, Smith and Stanley",622.74,509.09,852,1,10-11-2021 20:14
39,SKU100039,Most,Beauty,lot,"Phillips, Stokes and Caldwell",335.45,208.57,868,0,13-04-2024 12:36
40,SKU100040,System,Beauty,accept,"Williams, Mitchell and Crawford",131.2,63.54,41,1,15-01-2023 10:38
41,SKU100041,Sit,Beauty,thousand,Miller-Phillips,33.33,14.23,12,1,09-10-2020 14:01
42,SKU100042,Pay,Home,will,Brewer-Waters,353.93,159.62,388,1,03-12-2023 03:30
43,SKU100043,Of,Beauty,smile,Robinson-Johnson,367.5,152.36,68,1,25-04-2022 15:58
44,SKU100044,Partner,Clothing,modern,"Galvan, Thornton and Harrison",280.86,229.32,418,1,14-03-2024 05:28
45,SKU100045,Positive,Electronics,almost,"Mckinney, Maldonado and Thompson",659.42,521.85,137,1,08-11-2020 05:58
46,SKU100046,Among,Electronics,society,Moreno-Richard,238.12,195.73,793,0,05-02-2021 13:51
47,SKU100047,Hard,Clothing,recently,Hernandez-Olsen,409.39,207.37,898,1,19-05-2022 02:14
48,SKU100048,Sense,Sports,toward,"Summers, Perez and Reese",877.4,496.43,321,1,08-08-2024 13:45
49,SKU100049,Present,Electronics,theory,Johnson-Mitchell,822.05,576.87,584,1,08-06-2023 06:26
50,SKU100050,These,Electronics,indeed,Reynolds-Moore,811.5,508.56,608,1,10-02-2022 18:33
51,SKU100051,Play,Sports,write,Jones and Sons,5.09,3.16,782,1,19-03-2021 13:00
52,SKU100052,Teach,Beauty,party,"Castro, Pena and Perez",634.73,397.92,149,1,11-07-2021 09:51
53,SKU100053,Back,Sports,voice,Payne-Davis,787.84,664.07,872,1,31-03-2022 08:00
54,SKU100054,Money,Sports,would,Wilson-Christian,251.31,167.02,466,1,26-05-2024 19:43
55,SKU100055,Into,Home,charge,Faulkner-Johns,643.02,406.36,888,1,04-03-2022 17:25
56,SKU100056,International,Sports,tend,"Ramirez, Kelly and Gentry",387.9,159.91,673,1,28-09-2024 21:18
57,SKU100057,Full,Clothing,music,Brown Ltd,501.1,383.18,999,1,24-11-2022 14:26
58,SKU100058,Within,Clothing,consider,"Morgan, Morales and Vasquez",880.05,373.9,284,0,16-05-2022 11:34
59,SKU100059,There,Home,same,Nelson and Sons,663.45,397.84,615,1,10-10-2020 03:28
60,SKU100060,Page,Electronics,him,Daniels LLC,945.43,758.82,702,1,25-05-2022 04:48
